"","date","year","quarter","age","e","u","i","eu","ei","ue","ui","ie","iu","ee","ue_s","eu_s","ei_s","ui_s","ie_s","iu_s"
"4397",2016 Q2,2016,2,68,0.26879671,0.0091852546,0.72190428,0.012009751,0.075879402,0.32438791,0.36186236,0.018577859,0.0040420201,0.019974921,NA,NA,NA,NA,NA,NA
"4398",2016 Q2,2016,2,69,0.26456782,0.0066610663,0.72852892,0.0069192774,0.081059463,0.30455634,0.10149189,0.019222032,0.0011332176,0.0089020394,NA,NA,NA,NA,NA,NA
"4399",2016 Q2,2016,2,70,0.21049544,0.014325614,0.77419353,0.011714921,0.087046541,0.11395671,0.27281746,0.0121108,0.0068941033,0.027285291,NA,NA,NA,NA,NA,NA
"4400",2016 Q3,2016,3,18,0.38701862,0.071475133,0.53369963,0.026420835,0.14935589,0.2088152,0.38086873,0.10139281,0.04962964,0.049023058,0.236319328576418,0.0311483653777097,0.163591336171967,0.417340523348173,0.111143932109088,0.0692260184233627
"4401",2016 Q3,2016,3,19,0.4897885,0.071873739,0.43734381,0.02306227,0.12602985,0.29723352,0.27098209,0.088772327,0.052599549,0.071223691,0.380697778762527,0.0311343115252134,0.136320875016009,0.348014550383133,0.086199139100936,0.0852571721926723
"4402",2016 Q3,2016,3,20,0.53989989,0.067671642,0.39339498,0.029778318,0.12136964,0.24849842,0.26582113,0.11093418,0.043513346,0.054600872,0.297388504363653,0.0396331970056159,0.133957609233224,0.328997722873761,0.119844825600681,0.0648472962985465
"4403",2016 Q3,2016,3,21,0.60915875,0.056917354,0.33476117,0.025083203,0.085962206,0.31577176,0.25775868,0.10074019,0.052063867,0.056846846,0.403525897468025,0.0373835829032377,0.0917887514870466,0.357880330108577,0.0969804939799135,0.0888832644206664
"4404",2016 Q3,2016,3,22,0.67999363,0.05630856,0.26411891,0.017820742,0.057902437,0.33225417,0.29705459,0.10453817,0.080890283,0.040940035,0.425313377180914,0.025513469336033,0.0609695432198439,0.427021219770757,0.0873388740109891,0.144418622746724
"4405",2016 Q3,2016,3,23,0.71627021,0.058715302,0.22847246,0.022580082,0.045765687,0.27742732,0.27314523,0.098490804,0.052494444,0.041240875,0.330603253159504,0.0319257158156434,0.0462135450526751,0.359972111382295,0.0955964042749258,0.0823938056449305
"4406",2016 Q3,2016,3,24,0.75365847,0.060484912,0.19073938,0.013616151,0.039708856,0.26924205,0.18014051,0.14771546,0.079065315,0.035464603,0.314055742821474,0.0169380508505279,0.0454973204450645,0.265240223246279,0.147678039343905,0.129107729214015
"4407",2016 Q3,2016,3,25,0.74751049,0.053118255,0.2023934,0.014443312,0.036213275,0.2343213,0.23595291,0.096283317,0.056346346,0.031731535,0.265802301710647,0.0182902819676762,0.0379634977452521,0.298761901037428,0.0943613090866671,0.0817949173721709
"4408",2016 Q3,2016,3,26,0.78727031,0.034161475,0.17979187,0.0073935124,0.029175205,0.25621063,0.26012552,0.090106711,0.046850685,0.030994236,0.294673198814371,0.00937958204676781,0.0308443393578848,0.333002407739607,0.0870311672979525,0.0709366570078132
"4409",2016 Q3,2016,3,27,0.77273488,0.046346791,0.18151931,0.0146988,0.022731015,0.27153105,0.22683921,0.088254698,0.05203918,0.034555931,0.320257161531025,0.020585693574985,0.0222916029753716,0.304891581202573,0.0827441972276324,0.08015460510755
"4410",2016 Q3,2016,3,28,0.77471823,0.042272341,0.18337922,0.013981282,0.022371799,0.34136966,0.15555775,0.088996366,0.046320051,0.028914642,0.439275835321544,0.0228629754568735,0.0225083362031737,0.250687444473787,0.078660190427618,0.0834855806029764
