date,year,quarter,duration,ue
2004q4,2004,4,6,.24222085
2005q1,2005,1,6,.21977301
2005q2,2005,2,6,.21891354
2005q3,2005,3,6,.21567
2005q4,2005,4,6,.19630899
2006q1,2006,1,6,.21309814
2006q2,2006,2,6,.20711061
2006q3,2006,3,6,.25278652
2006q4,2006,4,6,.19128199
2007q1,2007,1,6,.25726956
2007q2,2007,2,6,.19527078
2007q3,2007,3,6,.23230278
2007q4,2007,4,6,.21727905
2008q1,2008,1,6,.22380029
2008q2,2008,2,6,.16939679
2008q3,2008,3,6,.15941402
2008q4,2008,4,6,.17268589
2009q1,2009,1,6,.12892573
2009q2,2009,2,6,.10859748
2009q3,2009,3,6,.11036178
2009q4,2009,4,6,.11823611
2010q1,2010,1,6,.14284453
2010q2,2010,2,6,.11929607
2010q3,2010,3,6,.15344197
2010q4,2010,4,6,.13388227
2011q1,2011,1,6,.14380915
2011q2,2011,2,6,.15166613
2011q3,2011,3,6,.14414786
2011q4,2011,4,6,.15328664
2012q1,2012,1,6,.14952901
2012q2,2012,2,6,.15094772
2012q3,2012,3,6,.15801226
2012q4,2012,4,6,.18916662
2013q1,2013,1,6,.11019669
2013q2,2013,2,6,.16222575
2013q3,2013,3,6,.1213218
2013q4,2013,4,6,.18355137
2014q1,2014,1,6,.15390971
2014q2,2014,2,6,.2058122
2014q3,2014,3,6,.19712722
2014q4,2014,4,6,.17757051
2015q1,2015,1,6,.16974282
2015q2,2015,2,6,.20588233
2015q3,2015,3,6,.16134228
2015q4,2015,4,6,.17104372
2016q1,2016,1,6,.17201158
2016q2,2016,2,6,.19387084
2016q3,2016,3,6,.22350903
2016q4,2016,4,6,.19533204
2017q1,2017,1,6,.22924219
2017q2,2017,2,6,.19948897
2017q3,2017,3,6,.24017525
2017q4,2017,4,6,.28832519
2018q1,2018,1,6,.19409552
2018q2,2018,2,6,.24544185
2018q3,2018,3,6,.20436566
2018q4,2018,4,6,.20949867
1995q4,1995,4,7,.20615081
1996q1,1996,1,7,.17298582
1996q2,1996,2,7,.17435738
1996q3,1996,3,7,.26189926
1996q4,1996,4,7,.14071082
1997q1,1997,1,7,.20864013
1997q2,1997,2,7,.14375973
1997q3,1997,3,7,.11324666
1997q4,1997,4,7,.13711584
1998q1,1998,1,7,.25587282
1998q2,1998,2,7,.28960261
1998q3,1998,3,7,.11625419
1998q4,1998,4,7,.29884019
1999q1,1999,1,7,.11771484
1999q2,1999,2,7,.18355209
1999q3,1999,3,7,.31529814
1999q4,1999,4,7,.2145586
2000q1,2000,1,7,.23895778
2000q2,2000,2,7,.065217316
2000q3,2000,3,7,.14523458
2000q4,2000,4,7,.17220169
2001q1,2001,1,7,.18113761
2001q2,2001,2,7,.33581656
2001q3,2001,3,7,.13955173
2001q4,2001,4,7,.21489188
2002q1,2002,1,7,.1654807
2002q2,2002,2,7,.14756684
2002q3,2002,3,7,.13102423
2002q4,2002,4,7,.11915053
2003q1,2003,1,7,.14093815
2003q2,2003,2,7,.10935425
2003q3,2003,3,7,.15736379
2003q4,2003,4,7,.12876482
2004q1,2004,1,7,.13815621
2004q2,2004,2,7,.12358165
2004q3,2004,3,7,.16549087
2004q4,2004,4,7,.27753329
2005q1,2005,1,7,.17175813
2005q2,2005,2,7,.070390582
2005q3,2005,3,7,.37822193
2005q4,2005,4,7,.16933328
2006q1,2006,1,7,.18929005
2006q2,2006,2,7,.19404086
2006q3,2006,3,7,.28574675
2006q4,2006,4,7,.24505597
2007q1,2007,1,7,.21990913
2007q2,2007,2,7,.19562964
2007q3,2007,3,7,.12331013
2007q4,2007,4,7,.061134148
2008q1,2008,1,7,.17493293
2008q2,2008,2,7,.12468594
2008q3,2008,3,7,.1121133
2008q4,2008,4,7,.16699058
2009q1,2009,1,7,.095913649
2009q2,2009,2,7,.089730911
2009q3,2009,3,7,.12271676
2009q4,2009,4,7,.12969482
2010q1,2010,1,7,.081849553
2010q2,2010,2,7,.13139713
2010q3,2010,3,7,.13823324
2010q4,2010,4,7,.086756423
2011q1,2011,1,7,.087276146
2011q2,2011,2,7,.18683702
2011q3,2011,3,7,.086553402
2011q4,2011,4,7,.11271542
2012q1,2012,1,7,.10991891
2012q2,2012,2,7,.084309518
2012q3,2012,3,7,.115642
2012q4,2012,4,7,.059131898
2013q1,2013,1,7,.10634071
2013q2,2013,2,7,.13780811
2013q3,2013,3,7,.17493337
2013q4,2013,4,7,.15892327
2014q1,2014,1,7,.14204985
2014q2,2014,2,7,.19347221
2014q3,2014,3,7,.18851206
2014q4,2014,4,7,.28058168
2015q1,2015,1,7,.15706949
2015q2,2015,2,7,.17754284
2015q3,2015,3,7,.17233881
2015q4,2015,4,7,.14441925
2016q1,2016,1,7,.13185284
2016q2,2016,2,7,.22992073
2016q3,2016,3,7,.16493019
2016q4,2016,4,7,.12159747
2017q1,2017,1,7,.17794695
2017q2,2017,2,7,.17785746
2017q3,2017,3,7,.063271984
2017q4,2017,4,7,.10522429
2018q1,2018,1,7,.24691552
2018q2,2018,2,7,.12991159
2018q3,2018,3,7,.08644826
2018q4,2018,4,7,.272259
1995q4,1995,4,8,.2647872
1996q1,1996,1,8,.1206793
1996q2,1996,2,8,.15057006
1996q3,1996,3,8,.21441463
1996q4,1996,4,8,.23782973
1997q1,1997,1,8,.24569842
1997q2,1997,2,8,.27677733
1997q3,1997,3,8,.18521884
1997q4,1997,4,8,.25470939
1998q1,1998,1,8,.19818722
1998q2,1998,2,8,.15539667
1998q3,1998,3,8,.14165781
1998q4,1998,4,8,.2218412
1999q1,1999,1,8,.17738076
1999q2,1999,2,8,.20757288
1999q3,1999,3,8,.24606025
1999q4,1999,4,8,.086453922
2000q1,2000,1,8,.2322423
2000q2,2000,2,8,.22742112
2000q3,2000,3,8,.232704
2000q4,2000,4,8,.17734095
2001q1,2001,1,8,.20951807
2001q2,2001,2,8,.21572897
2001q3,2001,3,8,.16004966
2001q4,2001,4,8,.23102839
2002q1,2002,1,8,.24876368
2002q2,2002,2,8,.16898666
2002q3,2002,3,8,.21456413
2002q4,2002,4,8,.17982163
2003q1,2003,1,8,.16169226
2003q2,2003,2,8,.092509955
2003q3,2003,3,8,.13754077
